title,artist,emotions
King Kunta,Kendrick Lamar,"['Anger', 'Confidence']"
Poetic Justice,Kendrick Lamar,"['Desire', 'Love']"
LOVE.,Kendrick Lamar,"['Love']"
Doo Wop (That Thing),Lauryn Hill,"['Anger','Disgust']"
Ex-Factor,Lauryn Hill,"['Sadness','Anger']"
To Zion,Lauryn Hill,"['Desire', 'Joy', 'Love']"
Lost Ones,Lauryn Hill,"['Anger']"
Can’t Take My Eyes Off of You,Lauryn Hill,"['Desire', 'Love', 'Joy']"
Tell Him,Lauryn Hill,"['Love']"
Nothing Even Matters,Lauryn Hill,"['Love']"
Self Care,Mac Miller,"['Joy']"
Good News,Mac Miller,"['Sadness']"
2009,Mac Miller,"['Sadness', 'Gratitude']"
Weekend,Mac Miller,"['Desire', 'Joy']"
Cinderella,Mac Miller,"['Desire', 'Love']"
Come Back to Earth,Mac Miller,"['Sadness']"
Congratulations,Mac Miller,"['Love']"
Dang!,Mac Miller,"['Love','Desire']"
In da Club,50 Cent,"['Confidence', 'Desire']"
21 Questions,50 Cent,"['Love', 'Desire']"
Many Men (Wish Death),50 Cent,"['Anger']"
P.I.M.P.,50 Cent,"['Lust', 'Confidence']"
Candy Shop,50 Cent,"['Desire', 'Lust']"
Best Friend,50 Cent,"['Desire', 'Love']"
N.Y. State of Mind,Nas,"['Anger', 'Confidence']"
Life’s a Bitch,Nas,"['sadness','Confidence']"
The World Is Yours,Nas,"['Confidence', 'Desire']"
If I Ruled the World (Imagine That),Nas,"['Confidence', 'Desire']"
Juicy,The Notorious B.I.G.,"['Confidence', 'gratitude','Joy']"
Big Poppa,The Notorious B.I.G.,"['Confidence', 'Desire']"
Suicidal Thoughts,The Notorious B.I.G.,"['Sadness', 'Shame']"
Hypnotize,The Notorious B.I.G.,"['confidence', 'desire', 'joy']"
Who Shot Ya?,The Notorious B.I.G.,"['Anger', 'Confidence']"
Mo’ Money Mo’ Problems,The Notorious B.I.G.,"['Confidence', 'Desire', 'Joy']"
Hit ’Em Up,2Pac,"['Anger', 'Disgust']"
Changes,2Pac,"['Sadness','Anger']"
Keep Ya Head Up,2Pac,"['Sadness','gratitude']"
Dear Mama,2Pac,"['Love','Gratitude']"
California Love,2Pac,"['Joy','Confidence','Desire']"
All Eyez On Me,2Pac,"['Confidence']"
Life Goes On,2Pac,"['Sadness']"
Work,Rihanna,"['Desire','Joy']"
Love on the Brain,Rihanna,"['Love']"
Needed Me,Rihanna,"['Anger', 'Confidence']"
Stay,Rihanna,"['Sadness']"
Kiss It Better,Rihanna,"['Desire']"
Diamonds,Rihanna,"['Joy', 'Love']"
Sex With Me,Rihanna,"['Desire', 'Confidence', 'Lust']"
Umbrella,Rihanna,"['Love']"
Bitch Better Have My Money,Rihanna,"['Anger', 'Confidence']"
Drunk in Love,Beyoncé,"['Desire','Love','Lust']"
Formation,Beyoncé,"['confidence']"
Partition,Beyoncé,"['Confidence', 'Lust']"
Halo,Beyoncé,"['Love']"
If I Were a Boy,Beyoncé,"['Sadness']"
Mine,Beyoncé,"['Desire','Love']"
Hold Up,Beyoncé,"['Anger', 'Sadness']"
Flawless Remix,Beyoncé,"['Confidence','Joy']"
Sorry,Beyoncé,"['Anger']"
Pray You Catch Me,Beyoncé,"['Sadness']"
All I Want for Christmas Is You,Mariah Carey,"['Joy','Love']"
We Belong Together,Mariah Carey,"['Sadness', 'Love']"
Obsessed,Mariah Carey,"['Anger', 'Disgust']"
Fantasy,Mariah Carey,"['Desire', 'Lust', 'Joy', 'Love']"
#Beautiful,Mariah Carey,"['Love','Joy','Desire']"
Always Be My Baby,Mariah Carey,"['Love']"
One Sweet Day,Mariah Carey,"['Sadness']"
Touch My Body,Mariah Carey,"['Lust','Desire']"
I Will Always Love You,Whitney Houston,"['Love', 'Sadness']"
I Have Nothing,Whitney Houston,"['Love']"
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,"['Desire', 'Joy']"
How Will I Know,Whitney Houston,"['Love']"
I’m Every Woman,Whitney Houston,"['Confidence','Joy']"
My Love is Your Love,Whitney Houston,"['Love']"
Old Town Road (Remix),Lil Nas X,"['confidence','joy']"
MONTERO (Call Me By Your Name),Lil Nas X,"['Desire', 'Confidence', 'Lust']"
THATS WHAT I WANT,Lil Nas X,"['Desire', 'Love']"
Say So,Doja Cat,"['Love','Desire','Lust']"
Kiss Me More,Doja Cat,"['Love','Desire','Lust']"
Need to Know,Doja Cat,"['Lust','Desire']"
Agora Hills,Doja Cat,"['Lust', 'Love','Desire']"
Ain’t Shit,Doja Cat,"['Anger']"
Juicy,Doja Cat,"['Lust','Joy','Confidence']"
Rules,Doja Cat,"['Confidence','Lust']"
Burn,USHER,"['Sadness']"
Yeah!,USHER,"['Lust']"
Climax,USHER,"['Sadness']"
I Don’t Mind,USHER,"['Love']"
Confessions Part II,USHER,"['Sadness','Shame']"
No Limit,USHER,"['Lust','Confidence']"
Nice & Slow,USHER,"['Love', 'Lust', 'Desire']"
U Got It Bad,USHER,"['Sadness']"
Rivals,USHER,"['Desire', 'Love']"
No Guidance,Chris Brown,"['Desire', 'Love']"
Privacy,Chris Brown,"['Desire', 'Lust']"
Love More,Chris Brown,"['Lust']"
Loyal,Chris Brown,"['Desire','Confidence']"
Autumn Leaves,Chris Brown,"['Sadness', 'Desire']"
Under the Influence,Chris Brown,"['Desire', 'Lust']"
The Hills,The Weeknd,"['Lust']"
Starboy,The Weeknd,"['Confidence']"
Can’t Feel My Face,The Weeknd,"['joy','Desire']"
Die For You,The Weeknd,"['Love']"
Reminder,The Weeknd,"['Confidence', 'Anger']"
Call Out My Name,The Weeknd,"['Sadness']"
Blinding Lights,The Weeknd,"['Desire', 'Joy']"
Often,The Weeknd,"['Lust']"
Heartless,The Weeknd,"['Confidence', 'Lust']"
Wicked Games,The Weeknd,"['Lust','Sadness']"
Work It,Missy Elliott,"['Confidence', 'Desire', 'Joy']"
Get Ur Freak On,Missy Elliott,"['Confidence','Joy']"
Lose Control,Missy Elliott,"['Joy']"
I’m Better,Missy Elliott,"['Confidence']"
​​rockstar,Post Malone,"['Desire','Confidence']"
White Iverson,Post Malone,"['Confidence']"
Congratulations,Post Malone,"['joy','Confidence','Gratitude']"
I Fall Apart,Post Malone,"['Sadness']"
Circles,Post Malone,"['Sadness']"
Better Now,Post Malone,"['Sadness']"
Wow.,Post Malone,"['Confidence','Joy']"
Stay,Post Malone,"['Sadness','Desire']"
Timber,Pitbull,"['Desire','Joy']"
Give Me Everything,Pitbull,"['Desire', 'Joy', 'Lust']"
Hotel Room Service,Pitbull,"['Desire', 'Joy', 'Lust']"
International Love,Pitbull,"['Desire', 'Joy', 'Lust']"
Fireball,Pitbull,"['Confidence','Joy']"
I Know You Want Me (Calle Ocho),Pitbull,"[Confidence, Desire, Lust]"
Thinkin Bout You,Frank Ocean,"['Desire', 'Love']"
Nights,Frank Ocean,"['Sadness']"
Self Control,Frank Ocean,"['Sadness', 'Desire']"
Ivy,Frank Ocean,"['Love']"
Chanel,Frank Ocean,"['Confidence','Love','joy']"
Pink Matter,Frank Ocean,"['Desire', 'Lust']"
Pyramids,Frank Ocean,"['Love']"
Nikes,Frank Ocean,"['Sadness']"
Lost,Frank Ocean,"['Sadness']"
Super Rich Kids,Frank Ocean,"['Desire']"
